Year,Month,Data,mm,SLR
1923,6,21,2526,-69
1923,6,22,2457,-33
1923,6,23,2424,94
1923,6,24,2518,77
1923,6,25,2595,16
1923,6,26,2611,-19
1923,6,27,2592,-37
1923,6,28,2555,20
1923,6,29,2575,-94
1923,6,30,2481,-79
1923,7,1,2402,-25
1923,7,2,2377,7
1923,7,3,2384,20
1923,7,4,2404,8
1923,7,5,2412,53
1923,7,6,2465,62
1923,7,7,2527,-7
1923,7,8,2520,-63
1923,7,9,2457,18
1923,7,10,2475,28
1923,7,11,2503,-12
1923,7,12,2491,-11
1923,7,13,2480,-16
1923,7,14,2464,-3
1923,7,15,2461,21
1923,7,16,2482,-49
1923,7,17,2433,-62
1923,7,18,2371,-41
1923,7,19,2330,39
1923,7,20,2369,118
1923,7,21,2487,25
1923,7,22,2512,-31
1923,7,23,2481,-22
1923,7,24,2459,64
1923,7,25,2523,3
1923,7,26,2526,-102
1923,7,27,2424,32
1923,7,28,2456,62
1923,7,29,2518,-54
1923,7,30,2464,-51
1923,7,31,2413,-28
1923,8,1,2385,36
1923,8,2,2421,40
1923,8,3,2461,21
1923,8,4,2482,19
1923,8,5,2501,-48
1923,8,6,2453,-6
1923,8,7,2447,2
1923,8,8,2449,-55
1923,8,9,2394,-7
1923,8,10,2387,51
1923,8,11,2438,49
1923,8,12,2487,50
1923,8,13,2537,-51
1923,8,14,2486,6
1923,8,15,2492,-68
1923,8,16,2424,-36
1923,8,17,2388,51
1923,8,18,2439,40
1923,8,19,2479,-13
1923,8,20,2466,-34
1923,8,21,2432,-27
1923,8,22,2405,-27
1923,8,23,2378,85
1923,8,24,2463,36
1923,8,25,2499,-56
1923,8,26,2443,-46
1923,8,27,2397,19
1923,8,28,2416,44
1923,8,29,2460,-41
1923,8,30,2419,-30
1923,8,31,2389,-9
1923,9,1,2380,-2
1923,9,2,2378,-15
1923,9,3,2363,42
1923,9,4,2405,58
1923,9,5,2463,-47
1923,9,6,2416,37
1923,9,7,2453,38
1923,9,8,2491,44
1923,9,9,2535,-27
1923,9,10,2508,-77
1923,9,11,2431,12
1923,9,12,2443,3
1923,9,13,2446,-64
1923,9,14,2382,-12
1923,9,15,2370,50
1923,9,16,2420,-36
1923,9,17,2384,-15
1923,9,18,2369,37
1923,9,19,2406,27
1923,9,20,2433,122
1923,9,21,2555,-59
1923,9,22,2496,-106
1923,9,23,2390,11
1923,9,24,2401,78
1923,9,25,2479,-29
1923,9,26,2450,-36
1923,9,27,2414,-10
1923,9,28,2404,74
1923,9,29,2478,75
1923,9,30,2553,-44
1923,10,1,2509,-57
1923,10,2,2452,77
1923,10,3,2529,23
1923,10,4,2552,-121
1923,10,5,2431,-62
1923,10,6,2369,-18
1923,10,7,2351,-8
1923,10,8,2343,31
1923,10,9,2374,56
1923,10,10,2430,17
1923,10,11,2447,-29
1923,10,12,2418,-33
1923,10,13,2385,10
1923,10,14,2395,29
1923,10,15,2424,-14
1923,10,16,2410,41
1923,10,17,2451,207
1923,10,18,2658,12
1923,10,19,2670,-143
1923,10,20,2527,-71
1923,10,21,2456,29
1923,10,22,2485,147
1923,10,23,2632,39
1923,10,24,2671,-103
1923,10,25,2568,-72
1923,10,26,2496,-63
1923,10,27,2433,-3
1923,10,28,2430,-77
1923,10,29,2353,60
1923,10,30,2413,50
1923,10,31,2463,14
1923,11,1,2477,-34
1923,11,2,2443,-43
1923,11,3,2400,153
1923,11,4,2553,16
1923,11,5,2569,-10
1923,11,6,2559,67
1923,11,7,2626,-104
1923,11,8,2522,-76
1923,11,9,2446,-13
1923,11,10,2433,45
1923,11,11,2478,18
1923,11,12,2496,60
1923,11,13,2556,120
1923,11,14,2676,-60
1923,11,15,2616,-51
1923,11,16,2565,73
1923,11,17,2638,9
1923,11,18,2647,-106
1923,11,19,2541,-152
1923,11,20,2389,-20
1923,11,21,2369,24
1923,11,22,2393,103
1923,11,23,2496,220
1923,11,24,2716,-57
1923,11,25,2659,-112
1923,11,26,2547,-43
1923,11,27,2504,-104
1923,11,28,2400,-41
1923,11,29,2359,61
1923,11,30,2420,13
1923,12,1,2433,-25
1923,12,2,2408,91
1923,12,3,2499,2
1923,12,4,2501,63
1923,12,5,2564,89
1923,12,6,2653,-153
1923,12,7,2500,-80
1923,12,8,2420,-2
1923,12,9,2418,-29
1923,12,10,2389,11
1923,12,11,2400,-10
1923,12,12,2390,15
1923,12,13,2405,-120
1923,12,14,2285,2
1923,12,15,2287,39
1923,12,16,2326,-6
1923,12,17,2320,-51
1923,12,18,2269,65
1923,12,19,2334,77
1923,12,20,2411,48
1923,12,21,2459,12
1923,12,22,2471,134
1923,12,23,2605,72
1923,12,24,2677,-146
1923,12,25,2531,-45
1923,12,26,2486,-24
1923,12,27,2462,210
1923,12,28,2672,-136
1923,12,29,2536,-171
1923,12,30,2365,209
1923,12,31,2574,-166
1924,1,1,2408,-311
1924,1,2,2097,204
1924,1,3,2301,7
1924,1,4,2308,172
1924,1,5,2480,14
1924,1,6,2494,-270
1924,1,7,2224,50
1924,1,8,2274,37
1924,1,9,2311,106
1924,1,10,2417,191
1924,1,11,2608,-159
1924,1,12,2449,-35
1924,1,13,2414,156
1924,1,14,2570,-143
1924,1,15,2427,59
1924,1,16,2486,132
1924,1,17,2618,-131
1924,1,18,2487,-16
1924,1,19,2471,90
1924,1,20,2561,-152
1924,1,21,2409,-382
1924,1,22,2027,82
1924,1,23,2109,287
1924,1,24,2396,201
1924,1,25,2597,-373
1924,1,26,2224,-219
1924,1,27,2005,164
1924,1,28,2169,84
1924,1,29,2253,174
1924,1,30,2427,84
1924,1,31,2511,-20
1924,2,1,2491,57
1924,2,2,2548,123
1924,2,3,2671,-88
1924,2,4,2583,39
1924,2,5,2622,153
1924,2,6,2775,-208
1924,2,7,2567,-103
1924,2,8,2464,-39
1924,2,9,2425,71
1924,2,10,2496,64
1924,2,11,2560,22
1924,2,12,2582,32
1924,2,13,2614,-39
1924,2,14,2575,-49
1924,2,15,2526,-174
1924,2,16,2352,-50
1924,2,17,2302,36
1924,2,18,2338,-74
1924,2,19,2264,301
1924,2,20,2565,21
1924,2,21,2586,-304
1924,2,22,2282,-15
1924,2,23,2267,-9
1924,2,24,2258,10
1924,2,25,2268,63
1924,2,26,2331,128
1924,2,27,2459,115
1924,2,28,2574,-180
1924,2,29,2394,41
1924,3,1,2435,60
1924,3,2,2495,-35
1924,3,3,2460,-56
1924,3,4,2404,90
1924,3,5,2494,60
1924,3,6,2554,1
1924,3,7,2555,-34
1924,3,8,2521,44
1924,3,9,2565,47
1924,3,10,2612,388
1924,3,11,3000,168
1924,3,12,3168,-495
1924,3,13,2673,-208
1924,3,14,2465,55
1924,3,15,2520,27
1924,3,16,2547,-33
1924,3,17,2514,32
1924,3,18,2546,-26
1924,3,19,2520,-40
